Time,inserted rows per sec - 111.2.20(master)
2025/5/27 08:39,38.3
2025/5/27 08:39,39.3
2025/5/27 08:39,39.3
2025/5/27 08:39,38.8
2025/5/27 08:40,33.2
2025/5/27 08:40,34.4
2025/5/27 08:40,38.9
2025/5/27 08:40,36.1
2025/5/27 08:41,40.9
2025/5/27 08:41,39.7
2025/5/27 08:41,34.3
2025/5/27 08:41,35.8
2025/5/27 08:42,37
2025/5/27 08:42,38.7
2025/5/27 08:42,38.1
2025/5/27 08:42,38.1
2025/5/27 08:43,37.1
2025/5/27 08:43,32.4
2025/5/27 08:43,35.7
2025/5/27 08:43,36.8
2025/5/27 08:44,36.5
2025/5/27 08:44,39.8
2025/5/27 08:44,37
2025/5/27 08:44,34.8
2025/5/27 08:45,33.4
2025/5/27 08:45,36.6
2025/5/27 08:45,36.6
2025/5/27 08:45,37.6
2025/5/27 08:46,37.4
2025/5/27 08:46,35.1
2025/5/27 08:46,35.6
2025/5/27 08:46,35.5
2025/5/27 08:47,37.2
2025/5/27 08:47,37.2
2025/5/27 08:47,38.5
2025/5/27 08:47,39.9
2025/5/27 08:48,36.4
2025/5/27 08:48,36.2
2025/5/27 08:48,36.8
2025/5/27 08:48,36.7
2025/5/27 08:49,37.7
2025/5/27 08:49,37.8
2025/5/27 08:49,37.2
2025/5/27 08:49,34.7
2025/5/27 08:50,36.6
2025/5/27 08:50,38.2
2025/5/27 08:50,39.8
2025/5/27 08:50,40.4
2025/5/27 08:51,40.1
2025/5/27 08:51,36.2
2025/5/27 08:51,34.3
2025/5/27 08:51,36.8
2025/5/27 08:52,35.3
2025/5/27 08:52,37.6
2025/5/27 08:52,38.3
2025/5/27 08:52,35.9
2025/5/27 08:53,34.9
2025/5/27 08:53,34.9
2025/5/27 08:53,34.7
2025/5/27 08:53,34.8
2025/5/27 08:54,38.2
2025/5/27 08:54,37
2025/5/27 08:54,35.1
2025/5/27 08:54,33.5
2025/5/27 08:55,37.2
2025/5/27 08:55,37.6
2025/5/27 08:55,38.3
2025/5/27 08:55,39.3
2025/5/27 08:56,35.1
2025/5/27 08:56,34.9
2025/5/27 08:56,33.7
2025/5/27 08:56,36.5
2025/5/27 08:57,36.3
2025/5/27 08:57,38.5
2025/5/27 08:57,38.4
2025/5/27 08:57,33.7
2025/5/27 08:58,33.6
2025/5/27 08:58,36.4
2025/5/27 08:58,37.7
2025/5/27 08:58,38.4
2025/5/27 08:59,39.9
2025/5/27 08:59,36.3
2025/5/27 08:59,34
2025/5/27 08:59,35.6
2025/5/27 09:00,36.5
2025/5/27 09:00,40.2
2025/5/27 09:00,45.8
2025/5/27 09:00,47.6
2025/5/27 09:01,44.7
2025/5/27 09:01,43.3
2025/5/27 09:01,44.9
2025/5/27 09:01,46.5
2025/5/27 09:02,52.3
2025/5/27 09:02,51.3
2025/5/27 09:02,49.5
2025/5/27 09:02,46.1
2025/5/27 09:03,44.7
2025/5/27 09:03,50.8
2025/5/27 09:03,50.5
2025/5/27 09:03,53.1
2025/5/27 09:04,53.3
2025/5/27 09:04,43.9
2025/5/27 09:04,46.7
2025/5/27 09:04,52.1
2025/5/27 09:05,52.9
2025/5/27 09:05,56.8
2025/5/27 09:05,56.7
2025/5/27 09:05,51.6
2025/5/27 09:06,47
2025/5/27 09:06,51.2
2025/5/27 09:06,52.6
2025/5/27 09:06,56.3
2025/5/27 09:07,55.8
2025/5/27 09:07,57.3
2025/5/27 09:07,49
2025/5/27 09:07,48.6
2025/5/27 09:08,60
2025/5/27 09:08,54.9
2025/5/27 09:08,62
2025/5/27 09:08,59.3
2025/5/27 09:09,55.2
2025/5/27 09:09,51
2025/5/27 09:09,51.3
2025/5/27 09:09,56.5
2025/5/27 09:10,53.7
2025/5/27 09:10,59.9
2025/5/27 09:10,58.3
2025/5/27 09:10,49.7
2025/5/27 09:11,49.9
2025/5/27 09:11,54.2
2025/5/27 09:11,54.1
2025/5/27 09:11,57.6
2025/5/27 09:12,59.9
2025/5/27 09:12,54.5
2025/5/27 09:12,50.1
2025/5/27 09:12,52.3
2025/5/27 09:13,56.3
2025/5/27 09:13,55.7
2025/5/27 09:13,59.6
2025/5/27 09:13,56.6
2025/5/27 09:14,46.2
2025/5/27 09:14,46.7
2025/5/27 09:14,50.5
2025/5/27 09:14,50.1
2025/5/27 09:15,52.7
2025/5/27 09:15,54.1
2025/5/27 09:15,46.9
2025/5/27 09:15,46.8
2025/5/27 09:16,46.1
2025/5/27 09:16,44.9
2025/5/27 09:16,43.4
2025/5/27 09:16,43.2
2025/5/27 09:17,43
2025/5/27 09:17,37
2025/5/27 09:17,36.7
2025/5/27 09:17,39.2
2025/5/27 09:18,37.2
2025/5/27 09:18,40.3
2025/5/27 09:18,39.6
2025/5/27 09:18,38
2025/5/27 09:19,35.3
2025/5/27 09:19,33.8
2025/5/27 09:19,38.4
2025/5/27 09:19,36.8
2025/5/27 09:20,39.1
2025/5/27 09:20,38.5
2025/5/27 09:20,34.9
2025/5/27 09:20,33.6
2025/5/27 09:21,37.4
2025/5/27 09:21,38.1
2025/5/27 09:21,37.4
2025/5/27 09:21,39.6
2025/5/27 09:22,36.4
2025/5/27 09:22,33.6
2025/5/27 09:22,35.6
2025/5/27 09:22,36.8
2025/5/27 09:23,35.2
2025/5/27 09:23,37.5
2025/5/27 09:23,37.3
2025/5/27 09:23,33.8
2025/5/27 09:24,35.3
2025/5/27 09:24,35.3
2025/5/27 09:24,36.7
2025/5/27 09:24,37.7
2025/5/27 09:25,38
2025/5/27 09:25,38.7
2025/5/27 09:25,36.6
2025/5/27 09:25,36
2025/5/27 09:26,38.5
2025/5/27 09:26,40.4
2025/5/27 09:26,42.2
2025/5/27 09:26,41.5
2025/5/27 09:27,38.6
2025/5/27 09:27,34.2
2025/5/27 09:27,36.4
2025/5/27 09:27,37.5
2025/5/27 09:28,36.8
2025/5/27 09:28,39.6
