Time,read rows per sec - 11.1.2.20(master)
2025/5/27 08:39,705
2025/5/27 08:39,663
2025/5/27 08:39,664
2025/5/27 08:39,510
2025/5/27 08:40,320
2025/5/27 08:40,534
2025/5/27 08:40,514
2025/5/27 08:40,513
2025/5/27 08:41,481
2025/5/27 08:41,295
2025/5/27 08:41,77.9
2025/5/27 08:41,76.3
2025/5/27 08:42,492
2025/5/27 08:42,496
2025/5/27 08:42,459
2025/5/27 08:42,459
2025/5/27 08:43,288
2025/5/27 08:43,301
2025/5/27 08:43,309
2025/5/27 08:43,294
2025/5/27 08:44,291
2025/5/27 08:44,289
2025/5/27 08:44,283
2025/5/27 08:44,318
2025/5/27 08:45,92.3
2025/5/27 08:45,515
2025/5/27 08:45,515
2025/5/27 08:45,483
2025/5/27 08:46,479
2025/5/27 08:46,294
2025/5/27 08:46,543
2025/5/27 08:46,768
2025/5/27 08:47,913
2025/5/27 08:47,705
2025/5/27 08:47,473
2025/5/27 08:47,288
2025/5/27 08:48,88.9
2025/5/27 08:48,313
2025/5/27 08:48,293
2025/5/27 08:48,292
2025/5/27 08:49,648
2025/5/27 08:49,650
2025/5/27 08:49,701
2025/5/27 08:49,766
2025/5/27 08:50,318
2025/5/27 08:50,110
2025/5/27 08:50,319
2025/5/27 08:50,489
2025/5/27 08:51,484
2025/5/27 08:51,543
2025/5/27 08:51,538
2025/5/27 08:51,294
2025/5/27 08:52,292
2025/5/27 08:52,280
2025/5/27 08:52,273
2025/5/27 08:52,282
2025/5/27 08:53,302
2025/5/27 08:53,527
2025/5/27 08:53,284
2025/5/27 08:53,287
2025/5/27 08:54,458
2025/5/27 08:54,650
2025/5/27 08:54,770
2025/5/27 08:54,995
2025/5/27 08:55,721
2025/5/27 08:55,525
2025/5/27 08:55,486
2025/5/27 08:55,301
2025/5/27 08:56,302
2025/5/27 08:56,79.5
2025/5/27 08:56,89.8
2025/5/27 08:56,94.7
2025/5/27 08:57,295
2025/5/27 08:57,282
2025/5/27 08:57,461
2025/5/27 08:57,537
2025/5/27 08:58,311
2025/5/27 08:58,504
2025/5/27 08:58,300
2025/5/27 08:58,283
2025/5/27 08:59,472
2025/5/27 08:59,294
2025/5/27 08:59,314
2025/5/27 08:59,315
2025/5/27 09:00,90
2025/5/27 09:00,45711
2025/5/27 09:00,255817
2025/5/27 09:00,487827
2025/5/27 09:01,657859
2025/5/27 09:01,906676
2025/5/27 09:01,1027990
2025/5/27 09:01,1113653
2025/5/27 09:02,1272815
2025/5/27 09:02,1292639
2025/5/27 09:02,1296167
2025/5/27 09:02,1192101
2025/5/27 09:03,1203770
2025/5/27 09:03,1297381
2025/5/27 09:03,1325906
2025/5/27 09:03,1422788
2025/5/27 09:04,1362430
2025/5/27 09:04,1248435
2025/5/27 09:04,1238718
2025/5/27 09:04,1301241
2025/5/27 09:05,1325389
2025/5/27 09:05,1388454
2025/5/27 09:05,1357572
2025/5/27 09:05,1275746
2025/5/27 09:06,1195263
2025/5/27 09:06,1193509
2025/5/27 09:06,1333234
2025/5/27 09:06,1332709
2025/5/27 09:07,1443901
2025/5/27 09:07,1400178
2025/5/27 09:07,1193384
2025/5/27 09:07,1160771
2025/5/27 09:08,1245778
2025/5/27 09:08,1313584
2025/5/27 09:08,1441902
2025/5/27 09:08,1506579
2025/5/27 09:09,1465311
2025/5/27 09:09,1380587
2025/5/27 09:09,1322205
2025/5/27 09:09,1368455
2025/5/27 09:10,1354564
2025/5/27 09:10,1454100
2025/5/27 09:10,1487752
2025/5/27 09:10,1350227
2025/5/27 09:11,1303546
2025/5/27 09:11,1344877
2025/5/27 09:11,1353222
2025/5/27 09:11,1437716
2025/5/27 09:12,1479061
2025/5/27 09:12,1361244
2025/5/27 09:12,1206508
2025/5/27 09:12,1202863
2025/5/27 09:13,1269889
2025/5/27 09:13,1276660
2025/5/27 09:13,1327493
2025/5/27 09:13,1163600
2025/5/27 09:14,877226
2025/5/27 09:14,748005
2025/5/27 09:14,667362
2025/5/27 09:14,669227
2025/5/27 09:15,709814
2025/5/27 09:15,703284
2025/5/27 09:15,665101
2025/5/27 09:15,618988
2025/5/27 09:16,602614
2025/5/27 09:16,424255
2025/5/27 09:16,264158
2025/5/27 09:16,184048
2025/5/27 09:17,40607
2025/5/27 09:17,542
2025/5/27 09:17,772
2025/5/27 09:17,304
2025/5/27 09:18,302
2025/5/27 09:18,476
2025/5/27 09:18,289
2025/5/27 09:18,308
2025/5/27 09:19,326
2025/5/27 09:19,553
2025/5/27 09:19,721
2025/5/27 09:19,710
2025/5/27 09:20,659
2025/5/27 09:20,669
2025/5/27 09:20,784
2025/5/27 09:20,1015
2025/5/27 09:21,1131
2025/5/27 09:21,706
2025/5/27 09:21,468
2025/5/27 09:21,469
2025/5/27 09:22,300
2025/5/27 09:22,316
2025/5/27 09:22,318
2025/5/27 09:22,96.7
2025/5/27 09:23,297
2025/5/27 09:23,284
2025/5/27 09:23,281
2025/5/27 09:23,311
2025/5/27 09:24,313
2025/5/27 09:24,309
2025/5/27 09:24,722
2025/5/27 09:24,670
2025/5/27 09:25,487
2025/5/27 09:25,725
2025/5/27 09:25,338
2025/5/27 09:25,352
2025/5/27 09:26,342
2025/5/27 09:26,696
2025/5/27 09:26,673
2025/5/27 09:26,852
2025/5/27 09:27,1227
2025/5/27 09:27,589
2025/5/27 09:27,509
2025/5/27 09:27,295
2025/5/27 09:28,91
2025/5/27 09:28,289
2025/5/27 09:28,504
2025/5/27 09:28,546
2025/5/27 09:29,1461
2025/5/27 09:29,1318
2025/5/27 09:29,1120
2025/5/27 09:29,1034
2025/5/27 09:30,290
2025/5/27 09:30,91.7
2025/5/27 09:30,12845
2025/5/27 09:30,42391
2025/5/27 09:31,57608
2025/5/27 09:31,66113
2025/5/27 09:31,55717
2025/5/27 09:31,30752
2025/5/27 09:32,17511
2025/5/27 09:32,571
2025/5/27 09:32,754
2025/5/27 09:32,583
2025/5/27 09:33,353
2025/5/27 09:33,348
2025/5/27 09:33,136
2025/5/27 09:33,84
2025/5/27 09:34,450
2025/5/27 09:34,1620
2025/5/27 09:34,1484
2025/5/27 09:34,1484
2025/5/27 09:35,1281
2025/5/27 09:35,104
2025/5/27 09:35,115
2025/5/27 09:35,580
2025/5/27 09:36,567
2025/5/27 09:36,734
2025/5/27 09:36,728
2025/5/27 09:36,441
2025/5/27 09:37,435
2025/5/27 09:37,385
2025/5/27 09:37,584
2025/5/27 09:37,469
2025/5/27 09:38,473
2025/5/27 09:38,515
2025/5/27 09:38,334
2025/5/27 09:38,335
2025/5/27 09:39,312
2025/5/27 09:39,103
2025/5/27 09:39,485
2025/5/27 09:39,488
2025/5/27 09:40,572
2025/5/27 09:40,820
2025/5/27 09:40,765
2025/5/27 09:40,762
2025/5/27 09:41,707
2025/5/27 09:41,504
2025/5/27 09:41,112
2025/5/27 09:41,111
2025/5/27 09:42,576
2025/5/27 09:42,569
2025/5/27 09:42,571
2025/5/27 09:42,717
2025/5/27 09:43,339
2025/5/27 09:43,337
2025/5/27 09:43,811
2025/5/27 09:43,536
2025/5/27 09:44,588
2025/5/27 09:44,930
2025/5/27 09:44,551
2025/5/27 09:44,593
2025/5/27 09:45,676
2025/5/27 09:45,440
2025/5/27 09:45,628
2025/5/27 09:45,1045
2025/5/27 09:46,890
2025/5/27 09:46,712
2025/5/27 09:46,584
2025/5/27 09:46,574
2025/5/27 09:47,950
2025/5/27 09:47,947
2025/5/27 09:47,1248
2025/5/27 09:47,874
2025/5/27 09:48,526
2025/5/27 09:48,559
2025/5/27 09:48,115
2025/5/27 09:48,126
2025/5/27 09:49,332
2025/5/27 09:49,692
2025/5/27 09:49,871
2025/5/27 09:49,1025
2025/5/27 09:50,901
2025/5/27 09:50,685
2025/5/27 09:50,682
2025/5/27 09:50,825
2025/5/27 09:51,735
2025/5/27 09:51,740
2025/5/27 09:51,797
2025/5/27 09:51,577
2025/5/27 09:52,550
2025/5/27 09:52,540
2025/5/27 09:52,513
2025/5/27 09:52,707
2025/5/27 09:53,816
2025/5/27 09:53,581
2025/5/27 09:53,545
2025/5/27 09:53,468
2025/5/27 09:54,455
2025/5/27 09:54,471
