Time,updated rows per sec - 11.1.2.20(master)
2025/5/27 08:39,15.6
2025/5/27 08:39,18
2025/5/27 08:39,18.3
2025/5/27 08:39,16.2
2025/5/27 08:40,15
2025/5/27 08:40,12.6
2025/5/27 08:40,15.6
2025/5/27 08:40,16.1
2025/5/27 08:41,16.6
2025/5/27 08:41,16.9
2025/5/27 08:41,12.4
2025/5/27 08:41,11.3
2025/5/27 08:42,13.2
2025/5/27 08:42,13.9
2025/5/27 08:42,14.1
2025/5/27 08:42,14.1
2025/5/27 08:43,13
2025/5/27 08:43,11.4
2025/5/27 08:43,13
2025/5/27 08:43,15
2025/5/27 08:44,14.5
2025/5/27 08:44,15
2025/5/27 08:44,13.9
2025/5/27 08:44,11.9
2025/5/27 08:45,12.9
2025/5/27 08:45,16.5
2025/5/27 08:45,16.8
2025/5/27 08:45,18.2
2025/5/27 08:46,17
2025/5/27 08:46,15.6
2025/5/27 08:46,14.9
2025/5/27 08:46,14.2
2025/5/27 08:47,16.8
2025/5/27 08:47,15.6
2025/5/27 08:47,18.5
2025/5/27 08:47,18.3
2025/5/27 08:48,15.5
2025/5/27 08:48,14.5
2025/5/27 08:48,13
2025/5/27 08:48,12.7
2025/5/27 08:49,13.7
2025/5/27 08:49,14.3
2025/5/27 08:49,14.8
2025/5/27 08:49,14
2025/5/27 08:50,15.6
2025/5/27 08:50,19.1
2025/5/27 08:50,19.9
2025/5/27 08:50,20.6
2025/5/27 08:51,19.3
2025/5/27 08:51,14.8
2025/5/27 08:51,14
2025/5/27 08:51,15.1
2025/5/27 08:52,15
2025/5/27 08:52,16.4
2025/5/27 08:52,14.1
2025/5/27 08:52,11.9
2025/5/27 08:53,11.2
2025/5/27 08:53,10.5
2025/5/27 08:53,12.6
2025/5/27 08:53,13.4
2025/5/27 08:54,13.9
2025/5/27 08:54,14.5
2025/5/27 08:54,12.9
2025/5/27 08:54,12.6
2025/5/27 08:55,18.7
2025/5/27 08:55,21.2
2025/5/27 08:55,21
2025/5/27 08:55,20.6
2025/5/27 08:56,16.4
2025/5/27 08:56,12.7
2025/5/27 08:56,14.1
2025/5/27 08:56,14.9
